,Time,IP,URL,Staus,AdjustedInMinutes,AdjustedInHour,AdjustedInDay,Method,HTTP
159,2017-11-29 15:40:42,10.131.2.1,/home.php,200,2017-11-29 15:40:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
160,2017-11-29 15:40:48,10.131.2.1,/archive.php,200,2017-11-29 15:40:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
161,2017-11-29 15:40:49,10.131.2.1,/allsubmission.php,200,2017-11-29 15:40:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
162,2017-11-29 15:40:53,10.131.2.1,/showcode.php,200,2017-11-29 15:40:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
163,2017-11-29 15:40:56,10.131.2.1,/home.php,200,2017-11-29 15:40:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
164,2017-11-29 15:41:03,10.131.0.1,/contestproblem.php,302,2017-11-29 15:40:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
165,2017-11-29 15:41:04,10.129.2.1,/countdown.php,200,2017-11-29 15:40:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
166,2017-11-29 15:41:25,10.129.2.1,/contestproblem.php,302,2017-11-29 15:40:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
167,2017-11-29 15:41:26,10.131.0.1,/countdown.php,200,2017-11-29 15:40:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
168,2017-11-29 15:41:34,10.131.0.1,/contestproblem.php,302,2017-11-29 15:40:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
169,2017-11-29 15:41:35,10.129.2.1,/countdown.php,200,2017-11-29 15:40:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
170,2017-11-29 15:41:52,10.129.2.1,/,200,2017-11-29 15:40:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
171,2017-11-29 15:41:55,10.129.2.1,/contestproblem.php,302,2017-11-29 15:40:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
172,2017-11-29 15:41:55,10.131.2.1,/countdown.php,200,2017-11-29 15:40:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
173,2017-11-29 15:42:00,10.131.2.1,/home.php,200,2017-11-29 15:40:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
174,2017-11-29 15:42:03,10.131.2.1,/compiler.php,200,2017-11-29 15:40:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
175,2017-11-29 15:42:11,10.131.2.1,/home.php,200,2017-11-29 15:40:00,2017-11-29 15:00:00,2017-11-29,GET,HTTP/1.1
